Number,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
465,63,male,2,own,little,little,"$2,924",24    ,car
466,29,female,1,rent,little,little,"$1,659",24    ,radio/TV
467,32,male,2,own,NA,NA,"$7,238",48    ,radio/TV
468,26,female,2,own,little,NA,"$2,764",33    ,business
469,35,male,1,own,little,NA,"$4,679",24    ,car
470,22,male,2,rent,moderate,moderate,"$3,092",24    ,radio/TV
471,23,female,2,own,little,little,$448,6    ,education
472,28,male,1,own,little,little,$654,9    ,car
473,36,male,3,own,NA,NA,"$1,238",6    ,education
474,33,male,2,own,little,moderate,"$1,245",18    ,radio/TV
475,26,female,2,rent,little,little,"$3,114",18    ,furniture/equipment
476,24,male,2,own,quite rich,NA,"$2,569",39    ,car
477,25,male,2,own,little,rich,"$5,152",24    ,radio/TV
478,39,male,1,own,moderate,moderate,"$1,037",12    ,business
479,44,male,2,own,little,little,"$1,478",15    ,furniture/equipment
480,23,female,1,own,little,moderate,"$3,573",12    ,radio/TV
481,26,male,2,own,little,moderate,"$1,201",24    ,car
482,57,female,2,rent,rich,little,"$3,622",30    ,furniture/equipment
483,30,female,2,own,rich,NA,$960,15    ,furniture/equipment
484,44,male,2,own,quite rich,NA,"$1,163",12    ,car
485,47,male,3,own,little,moderate,"$1,209",6    ,car
486,52,male,2,own,little,NA,"$3,077",12    ,radio/TV
487,62,female,2,free,little,NA,"$3,757",24    ,car
488,35,male,1,rent,moderate,NA,"$1,418",10    ,car
489,26,male,2,rent,little,NA,"$3,518",6    ,car
490,26,male,2,own,little,NA,"$1,934",12    ,radio/TV
491,42,female,3,free,little,moderate,"$8,318",27    ,business
492,27,female,2,own,moderate,NA,"$1,237",6    ,radio/TV
493,38,male,2,own,NA,moderate,$368,6    ,radio/TV
494,39,male,1,rent,little,little,"$2,122",12    ,car
495,20,male,2,own,NA,little,"$2,996",24    ,furniture/equipment
496,29,male,3,rent,moderate,moderate,"$9,034",36    ,furniture/equipment
497,40,male,2,own,little,NA,"$1,585",24    ,furniture/equipment
498,32,male,1,own,little,moderate,"$1,301",18    ,radio/TV
499,28,male,2,own,moderate,rich,"$1,323",6    ,car
500,27,female,2,own,little,little,"$3,123",24    ,car
501,42,male,2,free,little,little,"$5,493",36    ,car
502,49,male,2,own,moderate,rich,"$1,126",9    ,radio/TV
503,38,male,2,own,moderate,moderate,"$1,216",24    ,radio/TV
504,24,female,2,rent,little,little,"$1,207",24    ,car
505,27,male,1,own,NA,NA,"$1,309",10    ,car
506,36,male,2,own,quite rich,rich,"$2,360",15    ,car
507,34,male,3,own,moderate,moderate,"$6,850",15    ,car
508,28,male,2,own,little,NA,"$1,413",24    ,radio/TV
509,45,male,3,own,moderate,NA,"$8,588",39    ,car
510,26,male,2,own,little,little,$759,12    ,car
511,32,male,3,free,little,NA,"$4,686",36    ,car
512,26,male,2,rent,little,rich,"$2,687",15    ,business
513,20,male,2,rent,little,moderate,$585,12    ,radio/TV
514,54,male,2,own,NA,NA,"$2,255",24    ,car
515,37,female,2,own,little,little,$609,6    ,car
516,40,male,1,own,little,little,"$1,361",6    ,car
517,23,female,2,rent,little,NA,"$7,127",36    ,furniture/equipment
518,43,male,2,own,moderate,little,"$1,203",6    ,car
519,36,male,2,free,NA,NA,$700,6    ,radio/TV
520,44,male,2,free,little,NA,"$5,507",24    ,repairs
521,24,female,2,own,little,little,"$3,190",18    ,radio/TV
522,53,male,2,free,little,little,"$7,119",48    ,furniture/equipment
523,23,female,2,own,moderate,NA,"$3,488",24    ,car
524,26,female,1,own,little,moderate,"$1,113",18    ,radio/TV
525,30,male,2,own,little,moderate,"$7,966",26    ,car
526,31,female,2,own,moderate,NA,"$1,532",15    ,education
527,42,male,1,own,little,NA,"$1,503",4    ,radio/TV
528,31,male,2,rent,little,little,"$2,302",36    ,radio/TV
529,41,male,1,own,little,little,$662,6    ,car
530,32,male,2,own,little,moderate,"$2,273",36    ,education
531,28,female,2,rent,moderate,moderate,"$2,631",15    ,car
532,41,male,2,rent,little,NA,"$1,503",12    ,car
533,26,male,2,own,moderate,NA,"$1,311",24    ,radio/TV
534,25,male,2,own,NA,NA,"$3,105",24    ,radio/TV
535,33,male,2,rent,little,rich,"$2,319",21    ,education
536,75,female,3,own,NA,little,"$1,374",6    ,car
537,37,female,2,own,little,moderate,"$3,612",18    ,furniture/equipment
538,42,male,3,free,little,little,"$7,763",48    ,car
539,45,female,1,own,little,rich,"$3,049",18    ,furniture/equipment
540,23,male,2,rent,little,moderate,"$1,534",12    ,radio/TV
541,60,male,2,free,little,NA,"$2,032",24    ,car
542,31,male,2,own,NA,little,"$6,350",30    ,furniture/equipment
543,34,male,1,own,little,rich,"$2,864",18    ,furniture/equipment
544,61,male,1,own,little,NA,"$1,255",12    ,car
545,43,male,2,free,little,little,"$1,333",24    ,car
546,37,female,2,own,little,NA,"$2,022",24    ,car
547,32,male,2,own,little,NA,"$1,552",24    ,radio/TV
548,24,female,1,own,little,little,$626,12    ,radio/TV
549,35,male,2,free,NA,NA,"$8,858",48    ,car
550,23,female,2,own,NA,NA,$996,12    ,repairs
551,45,male,1,own,quite rich,NA,"$1,750",6    ,radio/TV
552,34,male,2,own,little,little,"$6,999",48    ,radio/TV
553,27,male,2,own,moderate,moderate,"$1,995",12    ,car
554,67,female,3,own,little,moderate,"$1,199",9    ,education
555,22,male,2,own,little,moderate,"$1,331",12    ,radio/TV
556,28,female,2,own,moderate,moderate,"$2,278",18    ,car
557,29,female,2,own,NA,NA,"$5,003",21    ,car
558,27,male,2,own,little,little,"$3,552",24    ,furniture/equipment
559,31,male,1,own,little,moderate,"$1,928",18    ,furniture/equipment
560,49,male,2,free,NA,little,"$2,964",24    ,car
561,24,male,1,rent,little,little,"$1,546",24    ,radio/TV
562,29,female,2,own,little,rich,$683,6    ,radio/TV
563,37,male,2,free,NA,moderate,"$12,389",36    ,car
564,37,male,3,own,NA,moderate,"$4,712",24    ,business
565,23,female,2,rent,moderate,moderate,"$1,553",24    ,radio/TV
566,36,male,2,own,little,little,"$1,372",12    ,car
567,34,male,2,own,rich,NA,"$2,578",24    ,radio/TV
568,41,male,2,own,NA,moderate,"$3,979",48    ,radio/TV
569,31,female,2,own,little,little,"$6,758",48    ,radio/TV
570,23,female,1,rent,little,little,"$3,234",24    ,furniture/equipment
571,38,male,2,own,little,NA,"$5,954",30    ,radio/TV
572,26,female,3,rent,NA,NA,"$5,433",24    ,car
573,22,female,1,own,little,little,$806,15    ,business
574,27,male,1,own,little,moderate,"$1,082",9    ,radio/TV
575,24,female,2,own,little,NA,"$2,788",15    ,furniture/equipment
576,27,female,2,own,little,moderate,"$2,930",12    ,radio/TV
577,33,female,2,own,NA,NA,"$1,927",24    ,education
578,27,male,2,own,little,moderate,"$2,820",36    ,car
579,27,male,1,own,little,NA,$937,24    ,education
580,30,male,2,own,little,moderate,"$1,056",18    ,car
581,49,male,1,own,little,moderate,"$3,124",12    ,car
582,26,female,2,rent,little,NA,"$1,388",9    ,furniture/equipment
583,33,male,1,rent,little,moderate,"$2,384",36    ,repairs
584,52,female,3,free,NA,NA,"$2,133",12    ,car
585,20,female,2,rent,little,little,"$2,039",18    ,furniture/equipment
586,36,male,2,rent,little,little,"$2,799",9    ,car
587,21,male,1,own,little,little,"$1,289",12    ,furniture/equipment
588,47,male,1,own,little,little,"$1,217",18    ,domestic appliances
589,60,male,2,own,little,little,"$2,246",12    ,furniture/equipment
590,58,female,1,own,little,little,$385,12    ,radio/TV
591,42,female,2,rent,NA,moderate,"$1,965",24    ,car
592,36,female,1,own,rich,NA,"$1,572",21    ,business
593,20,female,1,rent,little,moderate,"$2,718",24    ,car
594,40,male,3,own,NA,little,"$1,358",24    ,vacation/others
595,32,female,1,own,moderate,moderate,$931,6    ,car
596,23,female,2,rent,little,little,"$1,442",24    ,car
597,36,male,1,own,little,moderate,"$4,241",24    ,business
598,31,male,2,own,little,NA,"$2,775",18    ,car
599,32,male,2,free,little,NA,"$3,863",24    ,business
600,45,female,2,own,little,moderate,"$2,329",7    ,radio/TV
601,30,female,2,own,little,moderate,$918,9    ,furniture/equipment
602,34,female,1,free,little,moderate,"$1,837",24    ,education
603,28,female,3,own,little,NA,"$3,349",36    ,furniture/equipment
604,23,female,2,own,little,rich,"$1,275",10    ,furniture/equipment
605,22,male,2,own,quite rich,little,"$2,828",24    ,furniture/equipment
606,74,male,3,own,little,NA,"$4,526",24    ,business
607,50,female,2,free,moderate,moderate,"$2,671",36    ,radio/TV
608,33,male,2,own,little,NA,"$2,051",18    ,radio/TV
609,45,male,2,free,NA,NA,"$1,300",15    ,car
610,22,female,2,own,moderate,little,$741,12    ,domestic appliances
611,48,female,1,free,moderate,rich,"$1,240",10    ,car
612,29,female,2,own,rich,little,"$3,357",21    ,radio/TV
613,22,female,2,rent,little,little,"$3,632",24    ,car
614,22,female,2,own,little,NA,"$1,808",18    ,furniture/equipment
615,48,male,3,own,NA,moderate,"$12,204",48    ,business
616,27,male,3,free,NA,moderate,"$9,157",60    ,radio/TV
617,37,male,2,rent,little,little,"$3,676",6    ,car
618,21,female,2,rent,moderate,moderate,"$3,441",30    ,furniture/equipment
619,49,male,1,own,little,NA,$640,12    ,car
620,27,male,2,own,little,moderate,"$3,652",21    ,business
621,32,male,2,own,little,NA,"$1,530",18    ,car
622,38,male,2,own,NA,NA,"$3,914",48    ,business
623,22,female,2,rent,little,little,"$1,858",12    ,furniture/equipment
624,65,male,2,free,little,little,"$2,600",18    ,radio/TV
625,35,male,2,own,NA,NA,"$1,979",15    ,radio/TV
626,41,male,2,own,little,rich,"$2,116",6    ,furniture/equipment
627,29,male,2,own,moderate,moderate,"$1,437",9    ,car
628,36,male,2,own,quite rich,NA,"$4,042",42    ,furniture/equipment
629,64,male,1,own,NA,NA,"$3,832",9    ,education
630,28,female,2,own,little,little,"$3,660",24    ,radio/TV
631,44,male,2,own,little,little,"$1,553",18    ,furniture/equipment
632,23,male,2,own,NA,moderate,"$1,444",15    ,radio/TV
633,19,female,2,rent,little,NA,"$1,980",9    ,furniture/equipment
634,25,female,1,own,little,moderate,"$1,355",24    ,car
635,47,male,2,own,little,NA,"$1,393",12    ,education
636,28,female,2,own,quite rich,NA,"$1,376",24    ,radio/TV
637,21,male,2,own,little,NA,"$15,653",60    ,radio/TV
638,34,female,2,own,little,NA,"$1,493",12    ,radio/TV
639,26,male,2,own,little,little,"$4,370",42    ,radio/TV
640,27,female,0,own,little,little,$750,18    ,education
641,38,male,1,own,little,moderate,"$1,308",15    ,repairs
642,40,male,3,own,moderate,NA,"$4,623",15    ,education
643,33,male,2,own,little,NA,"$1,851",24    ,radio/TV
644,32,male,3,own,little,little,"$1,880",18    ,radio/TV
645,27,male,2,rent,NA,NA,"$7,980",36    ,business
646,32,male,2,own,little,little,"$4,583",30    ,furniture/equipment
647,26,female,2,own,quite rich,NA,"$1,386",12    ,car
648,38,male,2,free,little,rich,$947,24    ,car
649,40,male,1,rent,little,little,$684,12    ,education
650,50,male,3,free,little,little,"$7,476",48    ,education
651,37,male,1,own,little,moderate,"$1,922",12    ,furniture/equipment
652,45,male,2,own,little,little,"$2,303",24    ,car
653,42,male,3,own,moderate,moderate,"$8,086",36    ,car
654,35,male,2,own,little,NA,"$2,346",24    ,car
655,22,male,2,free,little,little,"$3,973",14    ,car
656,41,male,1,own,little,moderate,$888,12    ,car
657,37,male,2,own,NA,NA,"$10,222",48    ,radio/TV
658,28,female,2,own,little,moderate,"$4,221",30    ,business
659,41,male,2,own,little,moderate,"$6,361",18    ,furniture/equipment
660,23,male,2,rent,little,rich,"$1,297",12    ,radio/TV
661,23,male,2,own,NA,little,$900,12    ,car
662,50,male,2,own,little,NA,"$2,241",21    ,furniture/equipment
663,35,male,3,own,little,moderate,"$1,050",6    ,furniture/equipment
664,50,female,1,own,little,rich,"$1,047",6    ,education
665,27,male,3,own,little,NA,"$6,314",24    ,vacation/others
666,34,male,2,own,rich,moderate,"$3,496",30    ,furniture/equipment
667,27,female,2,own,little,NA,"$3,609",48    ,business
668,43,male,2,rent,little,little,"$4,843",12    ,car
669,47,male,2,own,little,rich,"$3,017",30    ,radio/TV
670,27,male,1,own,moderate,NA,"$4,139",24    ,business
671,31,male,2,own,moderate,NA,"$5,742",36    ,business
672,42,male,3,own,little,NA,"$10,366",60    ,car
673,24,male,2,own,quite rich,NA,"$2,080",6    ,car
674,41,male,1,own,quite rich,NA,"$2,580",21    ,business
675,26,female,3,rent,little,NA,"$4,530",30    ,radio/TV
676,33,male,2,own,little,NA,"$5,150",24    ,furniture/equipment
677,24,male,2,own,moderate,moderate,"$5,595",72    ,radio/TV
678,64,male,1,rent,little,little,"$2,384",24    ,radio/TV
679,26,female,2,own,little,NA,"$1,453",18    ,radio/TV
680,56,female,2,own,little,NA,"$1,538",6    ,education
681,37,male,2,free,NA,NA,"$2,279",12    ,radio/TV
682,33,male,2,own,little,NA,"$1,478",15    ,radio/TV
683,47,male,2,free,little,NA,"$5,103",24    ,radio/TV
684,31,male,1,own,moderate,moderate,"$9,857",36    ,business
685,34,male,2,free,NA,NA,"$6,527",60    ,car
686,27,male,2,own,NA,rich,"$1,347",10    ,radio/TV
687,30,male,2,free,moderate,moderate,"$2,862",36    ,car
688,35,male,2,own,moderate,NA,"$2,753",9    ,radio/TV
689,31,male,2,own,rich,little,"$3,651",12    ,car
690,25,male,2,own,little,little,$975,15    ,furniture/equipment
691,25,female,1,own,moderate,moderate,"$2,631",15    ,repairs
692,29,male,2,own,moderate,moderate,"$2,896",24    ,radio/TV
693,44,male,1,own,NA,little,"$4,716",6    ,car
694,28,male,2,own,little,NA,"$2,284",24    ,radio/TV
695,50,male,2,rent,quite rich,NA,"$1,236",6    ,car
696,29,male,2,own,little,moderate,"$1,103",12    ,radio/TV
697,38,female,0,own,little,NA,$926,12    ,car
698,24,male,2,own,little,NA,"$1,800",18    ,radio/TV
699,40,male,3,rent,little,rich,"$1,905",15    ,education
700,29,female,1,rent,quite rich,NA,"$1,123",12    ,furniture/equipment
701,46,male,2,free,little,little,"$6,331",48    ,car
702,47,female,2,free,moderate,rich,"$1,377",24    ,radio/TV
703,41,male,2,own,moderate,moderate,"$2,503",30    ,business
704,32,female,2,own,little,moderate,"$2,528",27    ,business
705,35,female,2,free,quite rich,NA,"$5,324",15    ,car
706,24,male,2,own,moderate,moderate,"$6,560",48    ,car
707,25,female,2,rent,little,moderate,"$2,969",12    ,furniture/equipment
708,25,female,2,own,little,moderate,"$1,206",9    ,radio/TV
709,37,male,1,own,little,moderate,"$2,118",9    ,radio/TV
710,32,male,3,own,quite rich,NA,$629,18    ,radio/TV
711,35,female,2,free,little,little,"$1,198",6    ,education
712,46,male,3,own,NA,NA,"$2,476",21    ,car
713,25,male,1,own,little,little,"$1,138",9    ,radio/TV
714,27,male,3,own,little,moderate,"$14,027",60    ,car
715,63,male,2,own,NA,NA,"$7,596",30    ,car
716,40,male,2,own,NA,NA,"$3,077",30    ,radio/TV
717,32,male,3,free,little,NA,"$1,505",18    ,radio/TV
718,31,male,2,own,NA,rich,"$3,148",24    ,radio/TV
719,31,male,2,own,moderate,moderate,"$6,148",20    ,car
720,34,male,3,own,little,rich,"$1,337",9    ,radio/TV
721,24,female,2,rent,rich,moderate,$433,6    ,education
722,24,female,1,own,little,little,"$1,228",12    ,car
723,66,female,1,own,quite rich,moderate,$790,9    ,radio/TV
724,21,female,2,rent,little,NA,"$2,570",27    ,car
725,41,female,1,own,rich,NA,$250,6    ,car
726,47,male,1,own,quite rich,NA,"$1,316",15    ,radio/TV
727,25,female,2,rent,little,little,"$1,882",18    ,radio/TV
728,59,female,2,rent,little,moderate,"$6,416",48    ,business
729,36,male,2,own,rich,rich,"$1,275",24    ,business
730,33,male,2,own,little,moderate,"$6,403",24    ,radio/TV
731,21,male,1,rent,little,little,"$1,987",24    ,radio/TV
732,44,female,1,own,little,moderate,$760,8    ,radio/TV
733,28,female,2,rent,rich,NA,"$2,603",24    ,car
734,37,female,2,own,little,NA,"$3,380",4    ,car
735,29,female,0,own,NA,moderate,"$3,990",36    ,domestic appliances
736,23,female,3,rent,little,moderate,"$11,560",24    ,car
737,35,male,1,own,moderate,little,"$4,380",18    ,car
738,45,male,3,own,little,NA,"$6,761",6    ,car
739,26,female,1,rent,moderate,moderate,"$4,280",30    ,business
740,32,male,2,own,moderate,little,"$2,325",24    ,car
741,23,male,1,own,little,moderate,"$1,048",10    ,radio/TV
742,41,male,2,own,NA,NA,"$3,160",21    ,radio/TV
743,22,male,2,own,quite rich,little,"$2,483",24    ,furniture/equipment
744,30,male,3,own,NA,little,"$14,179",39    ,furniture/equipment
745,28,male,1,own,little,little,"$1,797",13    ,business
746,23,female,2,rent,little,little,"$2,511",15    ,car
747,37,female,1,own,little,little,"$1,274",12    ,car
748,26,male,2,own,NA,NA,"$5,248",21    ,car
749,33,male,2,own,little,NA,"$3,029",15    ,car
750,49,female,2,own,little,little,$428,6    ,furniture/equipment
751,23,female,1,own,little,little,$976,18    ,car
752,23,female,1,rent,moderate,moderate,$841,12    ,business
753,25,female,2,own,little,NA,"$5,771",30    ,radio/TV
754,55,male,2,free,rich,NA,"$1,555",12    ,repairs
755,32,female,2,rent,NA,little,"$1,285",24    ,car
756,74,male,0,own,little,rich,"$1,299",6    ,car
757,39,male,2,free,NA,rich,"$1,271",15    ,radio/TV
758,31,male,2,own,little,NA,"$1,393",24    ,car
759,35,male,2,own,little,little,$691,12    ,car
760,59,female,2,own,NA,NA,"$5,045",15    ,car
761,24,female,2,rent,little,little,"$2,124",18    ,furniture/equipment
762,24,male,1,own,little,little,"$2,214",12    ,radio/TV
763,30,male,3,free,NA,NA,"$12,680",21    ,car
764,27,male,2,own,moderate,NA,"$2,463",24    ,car
765,40,male,1,own,little,moderate,"$1,155",12    ,radio/TV
766,31,male,1,own,little,little,"$3,108",30    ,furniture/equipment
767,31,female,2,rent,NA,NA,"$2,901",10    ,car
768,28,male,2,rent,little,moderate,"$3,617",12    ,furniture/equipment
769,63,male,1,own,little,NA,"$1,655",12    ,radio/TV
770,26,female,2,rent,NA,little,"$2,812",24    ,car
771,25,female,3,own,little,little,"$8,065",36    ,education
772,36,male,3,own,little,NA,"$3,275",21    ,car
773,52,male,2,own,moderate,NA,"$2,223",24    ,radio/TV
774,66,male,0,free,quite rich,rich,"$1,480",12    ,car
775,25,female,2,rent,NA,little,"$1,371",24    ,car
776,37,male,2,own,little,NA,"$3,535",36    ,car
777,25,female,2,own,little,little,"$3,509",18    ,radio/TV
778,38,male,3,own,rich,NA,"$5,711",36    ,car
779,67,female,2,own,little,moderate,"$3,872",18    ,repairs
780,25,male,2,own,little,moderate,"$4,933",39    ,radio/TV
781,60,male,2,own,rich,NA,"$1,940",24    ,car
782,31,male,1,own,little,moderate,"$1,410",12    ,education
783,23,female,1,own,moderate,moderate,$836,12    ,car
784,60,male,3,own,NA,moderate,"$6,468",20    ,car
785,35,male,1,own,rich,moderate,"$1,941",18    ,business
786,40,male,2,own,quite rich,NA,"$2,675",22    ,radio/TV
787,38,male,2,own,NA,NA,"$2,751",48    ,car
788,50,male,2,free,little,moderate,"$6,224",48    ,education
789,27,male,2,own,little,little,"$5,998",40    ,education
790,39,female,2,own,little,moderate,"$1,188",21    ,business
791,41,male,3,own,NA,NA,"$6,313",24    ,car
792,27,male,2,own,NA,NA,"$1,221",6    ,furniture/equipment
793,51,male,2,free,little,rich,"$2,892",24    ,furniture/equipment
794,32,male,2,rent,quite rich,NA,"$3,062",24    ,furniture/equipment
795,22,female,2,rent,moderate,NA,"$2,301",9    ,furniture/equipment
796,51,male,2,free,NA,little,"$7,511",18    ,car
797,22,female,1,rent,little,NA,"$1,258",12    ,furniture/equipment
798,54,male,2,own,NA,NA,$717,24    ,car
799,35,male,0,own,NA,moderate,"$1,549",9    ,car
800,54,male,2,free,little,NA,"$1,597",24    ,education
801,48,female,1,rent,little,moderate,"$1,795",18    ,radio/TV
802,24,female,2,own,little,little,"$4,272",20    ,furniture/equipment
803,35,male,2,own,NA,NA,$976,12    ,radio/TV
804,24,female,0,rent,NA,moderate,"$7,472",12    ,car
805,24,male,2,own,little,little,"$9,271",36    ,car
806,26,male,1,own,little,moderate,$590,6    ,radio/TV
807,65,male,2,own,NA,NA,$930,12    ,radio/TV
808,55,male,3,free,little,moderate,"$9,283",42    ,car
809,26,female,0,rent,little,moderate,"$1,778",15    ,car
810,26,male,2,own,little,moderate,$907,8    ,business
811,28,male,1,own,little,moderate,$484,6    ,radio/TV
812,24,male,2,own,little,little,"$9,629",36    ,car
813,54,male,2,own,little,little,"$3,051",48    ,domestic appliances
814,46,male,2,free,little,little,"$3,931",48    ,car
815,54,female,2,rent,little,moderate,"$7,432",36    ,car
816,62,male,2,own,quite rich,NA,"$1,338",6    ,domestic appliances
817,24,female,2,rent,little,NA,"$1,554",6    ,radio/TV
818,43,male,3,own,little,little,"$15,857",36    ,vacation/others
819,26,male,2,own,little,little,"$1,345",18    ,radio/TV
820,27,male,2,own,little,NA,"$1,101",12    ,car
821,24,male,2,own,little,rich,"$3,016",12    ,radio/TV
822,41,male,2,own,little,little,"$2,712",36    ,furniture/equipment
823,47,male,1,own,little,little,$731,8    ,car
824,35,male,3,own,little,NA,"$3,780",18    ,furniture/equipment
825,30,male,2,own,little,little,"$1,602",21    ,car
826,33,female,2,rent,little,little,"$3,966",18    ,car
827,36,male,2,own,little,NA,"$4,165",18    ,business
828,47,male,2,free,NA,little,"$8,335",36    ,car
829,38,male,2,free,NA,moderate,"$6,681",48    ,business
830,44,male,2,own,quite rich,NA,"$2,375",24    ,business
831,23,female,2,rent,little,little,"$1,216",18    ,car
832,29,male,2,rent,little,little,"$11,816",45    ,business
833,42,female,2,own,NA,moderate,"$5,084",24    ,radio/TV
834,25,female,1,own,little,rich,"$2,327",15    ,radio/TV
835,48,male,2,own,little,little,"$1,082",12    ,car
836,21,female,2,own,NA,NA,$886,12    ,radio/TV
837,23,female,1,rent,little,NA,$601,4    ,furniture/equipment
838,63,male,2,own,little,little,"$2,957",24    ,car
839,46,male,2,own,little,NA,"$2,611",24    ,radio/TV
840,29,male,2,own,little,little,"$5,179",36    ,furniture/equipment
841,28,male,1,own,little,NA,"$2,993",21    ,car
842,23,female,2,own,little,NA,"$1,943",18    ,repairs
843,50,male,2,own,little,NA,"$1,559",24    ,business
844,47,male,2,own,little,NA,"$3,422",18    ,furniture/equipment
845,35,male,2,own,NA,moderate,"$3,976",21    ,furniture/equipment
846,68,male,2,rent,NA,NA,"$6,761",18    ,car
847,28,male,2,own,little,NA,"$1,249",24    ,car
848,59,male,2,own,little,little,"$1,364",9    ,radio/TV
849,57,male,1,own,little,little,$709,12    ,radio/TV
850,33,male,2,rent,little,little,"$2,235",20    ,car
851,43,male,2,own,NA,NA,"$4,042",24    ,car
852,35,male,2,free,little,NA,"$1,471",15    ,radio/TV
853,32,male,1,free,little,little,"$1,442",18    ,car
854,45,male,2,own,little,NA,"$10,875",36    ,car
855,33,male,2,own,moderate,NA,"$1,474",24    ,car
856,40,female,2,own,NA,NA,$894,10    ,education
857,28,male,2,free,little,NA,"$3,343",15    ,furniture/equipment
858,29,female,2,own,little,little,"$3,959",15    ,car
859,26,male,2,rent,moderate,NA,"$3,577",9    ,car
860,27,male,2,own,rich,NA,"$5,804",24    ,car
861,28,male,2,own,little,NA,"$2,169",18    ,business
862,35,female,2,own,little,little,"$2,439",24    ,radio/TV
863,32,male,1,own,rich,NA,"$4,526",27    ,furniture/equipment
864,25,male,1,rent,little,NA,"$2,210",10    ,furniture/equipment
865,20,female,2,rent,quite rich,NA,"$2,221",15    ,furniture/equipment
866,27,female,2,own,little,little,"$2,389",18    ,radio/TV
867,42,male,2,own,little,NA,"$3,331",12    ,furniture/equipment
868,37,male,2,own,NA,NA,"$7,409",36    ,business
869,24,female,2,rent,little,little,$652,12    ,furniture/equipment
870,40,female,2,own,quite rich,NA,"$7,678",36    ,furniture/equipment
871,46,male,2,own,little,rich,"$1,343",6    ,car
872,26,male,2,own,moderate,little,"$1,382",24    ,business
873,24,female,2,own,NA,NA,$874,15    ,domestic appliances
874,29,male,1,own,little,little,"$3,590",12    ,furniture/equipment
875,40,female,2,own,rich,moderate,"$1,322",11    ,car
876,36,male,3,free,little,little,"$1,940",18    ,radio/TV
877,28,male,2,own,little,NA,"$3,595",36    ,radio/TV
878,27,male,3,free,little,little,"$1,422",9    ,car
879,36,male,2,own,NA,NA,"$6,742",30    ,radio/TV
880,38,male,3,own,little,NA,"$7,814",24    ,car
881,48,male,2,free,NA,NA,"$9,277",24    ,car
882,36,male,2,own,NA,moderate,"$2,181",30    ,car
883,65,female,0,own,little,NA,"$1,098",18    ,radio/TV
884,43,male,2,own,little,moderate,"$4,057",24    ,furniture/equipment
885,53,female,2,own,little,little,$795,12    ,education
886,34,male,2,own,NA,moderate,"$2,825",24    ,business
887,23,male,2,own,little,moderate,"$15,672",48    ,business
888,34,male,3,own,little,NA,"$6,614",36    ,car
889,40,male,2,rent,NA,NA,"$7,824",28    ,car
890,43,male,3,own,little,little,"$2,442",27    ,business
891,46,male,2,own,little,NA,"$1,829",15    ,radio/TV
892,38,male,1,own,little,little,"$2,171",12    ,car
893,34,male,2,own,little,moderate,"$5,800",36    ,car
894,29,male,2,own,NA,NA,"$1,169",18    ,radio/TV
895,31,male,3,own,NA,NA,"$8,947",36    ,car
896,28,female,3,rent,little,little,"$2,606",21    ,radio/TV
897,35,female,2,own,rich,NA,"$1,592",12    ,furniture/equipment
898,33,female,1,rent,NA,NA,"$2,186",15    ,furniture/equipment
899,42,male,2,own,little,little,"$4,153",18    ,furniture/equipment
900,43,male,2,rent,little,little,"$2,625",16    ,car
901,44,male,2,own,NA,NA,"$3,485",20    ,car
902,42,male,2,free,NA,NA,"$10,477",36    ,car
903,40,male,2,rent,NA,NA,"$1,386",15    ,radio/TV
904,36,male,3,own,little,NA,"$1,278",24    ,radio/TV
905,20,male,3,rent,little,little,"$1,107",12    ,radio/TV
906,24,male,1,own,NA,little,"$3,763",21    ,car
907,27,male,2,own,NA,moderate,"$3,711",36    ,education
908,46,female,1,own,little,NA,"$3,594",15    ,car
909,33,female,1,own,NA,moderate,"$3,195",9    ,car
910,34,female,2,own,little,NA,"$4,454",36    ,radio/TV
911,25,female,1,own,little,moderate,"$4,736",24    ,furniture/equipment
912,25,female,2,own,NA,moderate,"$2,991",30    ,radio/TV
913,28,male,2,own,rich,NA,"$2,142",11    ,business
914,31,male,2,rent,little,little,"$3,161",24    ,business
915,32,female,3,own,little,moderate,"$18,424",48    ,vacation/others
916,32,male,2,own,moderate,NA,"$2,848",10    ,car
917,68,male,3,own,little,little,"$14,896",6    ,car
918,33,male,2,own,moderate,little,"$2,359",24    ,furniture/equipment
919,39,male,3,rent,little,little,"$3,345",24    ,furniture/equipment
920,28,female,2,own,little,NA,"$1,817",18    ,furniture/equipment
921,37,male,3,own,quite rich,NA,"$12,749",48    ,radio/TV
922,22,female,2,rent,little,little,"$1,366",9    ,radio/TV
923,30,male,2,rent,little,moderate,"$2,002",12    ,car
924,55,male,2,own,little,little,"$6,872",24    ,furniture/equipment
925,46,male,2,own,little,little,$697,12    ,car
926,21,female,2,rent,little,little,"$1,049",18    ,furniture/equipment
927,39,male,2,free,little,little,"$10,297",48    ,car
928,58,male,2,own,NA,NA,"$1,867",30    ,radio/TV
929,43,male,1,own,little,little,"$1,344",12    ,car
930,24,male,1,own,little,little,"$1,747",24    ,furniture/equipment
931,22,female,2,own,little,moderate,"$1,670",9    ,radio/TV
932,30,male,2,own,little,NA,"$1,224",9    ,car
933,42,male,2,own,quite rich,NA,$522,12    ,radio/TV
934,23,female,2,own,little,little,"$1,498",12    ,radio/TV
